pras1,pras2,y
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,2.0,hati hati
3.0,2.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
4.0,2.0,hati hati
4.0,2.0,hati hati
4.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,hati hati
4.0,3.0,hati hati
2.0,2.0,hati hati
2.0,2.0,hati hati
2.0,3.0,hati hati
2.0,3.0,hati hati
3.0,3.0,hati hati
3.0,3.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
3.0,3.0,hati hati
3.0,3.0,hati hati
4.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
4.0,2.0,lulus
4.0,2.0,lulus
4.0,2.0,lulus
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
3.0,2.0,lulus
3.0,2.0,lulus
3.0,3.0,hati hati
3.0,3.0,hati hati
3.0,3.0,hati hati
4.0,1.0,lulus
4.0,1.0,lulus
2.0,3.0,hati hati
2.0,3.0,hati hati
2.0,3.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
4.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
2.0,2.0,hati hati
2.0,2.0,hati hati
2.0,2.0,hati hati
2.0,2.0,hati hati
3.0,3.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
4.0,2.0,lulus
4.0,2.0,lulus
4.0,2.0,lulus
4.0,2.0,lulus
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
3.0,3.0,hati hati
3.0,3.0,hati hati
2.0,3.0,hati hati
2.0,3.0,hati hati
2.0,4.0,hati hati
2.0,4.0,hati hati
4.0,4.0,lulus
4.0,4.0,lulus
3.0,3.0,hati hati
3.0,3.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
3.0,2.0,hati hati
3.0,2.0,hati hati
2.0,4.0,hati hati
2.0,4.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
4.0,3.0,lulus
4.0,3.0,lulus
3.0,3.0,hati hati
3.0,3.0,hati hati
2.0,3.0,hati hati
2.0,3.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
3.0,2.0,lulus
3.0,2.0,lulus
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
4.0,2.0,hati hati
4.0,2.0,hati hati
3.0,3.0,hati hati
3.0,3.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
4.0,2.0,hati hati
4.0,2.0,hati hati
4.0,2.0,hati hati
3.0,2.0,lulus
3.0,2.0,lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
4.0,1.0,hati hati
4.0,1.0,hati hati
3.0,3.0,lulus
3.0,3.0,lulus
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,2.0,lulus
3.0,2.0,lulus
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
2.0,4.0,lulus
2.0,4.0,lulus
2.0,2.0,lulus
2.0,2.0,lulus
3.0,3.0,hati hati
3.0,3.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
2.0,3.0,hati hati
2.0,3.0,hati hati
2.0,2.0,hati hati
2.0,2.0,hati hati
3.0,3.0,hati hati
3.0,3.0,hati hati
3.0,3.0,hati hati
3.0,3.0,hati hati
4.0,3.0,lulus
4.0,3.0,lulus
3.0,1.0,hati hati
3.0,1.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
2.0,2.0,hati hati
2.0,2.0,hati hati
4.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,hati hati
4.0,3.0,hati hati
3.0,3.0,hati hati
3.0,3.0,hati hati
4.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,hati hati
4.0,3.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
2.0,2.0,lulus
2.0,2.0,lulus
4.0,2.0,hati hati
4.0,2.0,hati hati
4.0,2.0,hati hati
4.0,2.0,hati hati
4.0,2.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,3.0,hati hati
3.0,3.0,hati hati
3.0,3.0,hati hati
2.0,2.0,hati hati
2.0,2.0,hati hati
3.0,1.0,hati hati
3.0,1.0,hati hati
3.0,1.0,hati hati
2.0,3.0,hati hati
2.0,3.0,hati hati
4.0,2.0,lulus
4.0,2.0,lulus
4.0,2.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
3.0,2.0,hati hati
3.0,2.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,2.0,hati hati
3.0,2.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,4.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
2.0,3.0,lulus
2.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
3.0,2.0,lulus
3.0,2.0,lulus
3.0,3.0,hati hati
3.0,3.0,hati hati
3.0,2.0,hati hati
3.0,2.0,hati hati
4.0,4.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
2.0,2.0,lulus
2.0,2.0,lulus
2.0,2.0,lulus
4.0,3.0,hati hati
4.0,3.0,hati hati
3.0,4.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
2.0,4.0,lulus
2.0,4.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
3.0,2.0,hati hati
3.0,2.0,hati hati
4.0,4.0,lulus
4.0,4.0,lulus
2.0,4.0,hati hati
2.0,4.0,hati hati
4.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
3.0,3.0,hati hati
3.0,3.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,lulus
4.0,4.0,lulus
4.0,2.0,lulus
4.0,2.0,lulus
1.0,3.0,lulus
1.0,3.0,lulus
2.0,3.0,hati hati
2.0,3.0,hati hati
2.0,3.0,hati hati
2.0,3.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
3.0,4.0,lulus
3.0,4.0,lulus
2.0,3.0,hati hati
2.0,3.0,hati hati
2.0,2.0,lulus
2.0,2.0,lulus
2.0,3.0,lulus
2.0,3.0,lulus
2.0,3.0,lulus
2.0,3.0,hati hati
2.0,3.0,hati hati
4.0,1.0,lulus
4.0,1.0,lulus
2.0,2.0,hati hati
2.0,2.0,hati hati
2.0,3.0,lulus
2.0,3.0,lulus
2.0,3.0,hati hati
2.0,3.0,hati hati
4.0,3.0,lulus
4.0,3.0,lulus
2.0,4.0,lulus
2.0,4.0,lulus
2.0,4.0,lulus
2.0,4.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
3.0,1.0,hati hati
3.0,1.0,hati hati
3.0,2.0,hati hati
3.0,2.0,hati hati
2.0,2.0,hati hati
2.0,2.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
2.0,4.0,lulus
2.0,4.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
2.0,3.0,lulus
2.0,3.0,lulus
2.0,3.0,lulus
2.0,3.0,lulus
3.0,4.0,hati hati
3.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,2.0,hati hati
4.0,2.0,hati hati
1.0,3.0,lulus
1.0,3.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
4.0,2.0,lulus
4.0,2.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
3.0,3.0,hati hati
3.0,3.0,hati hati
2.0,2.0,lulus
2.0,2.0,lulus
3.0,3.0,hati hati
3.0,3.0,hati hati
3.0,3.0,hati hati
3.0,4.0,hati hati
3.0,4.0,hati hati
2.0,3.0,lulus
2.0,3.0,lulus
4.0,4.0,hati hati
4.0,4.0,hati hati
3.0,3.0,lulus
3.0,3.0,lulus
4.0,3.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,4.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
3.0,4.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
4.0,2.0,hati hati
4.0,2.0,hati hati
4.0,2.0,hati hati
3.0,2.0,lulus
3.0,2.0,lulus
4.0,3.0,hati hati
4.0,3.0,hati hati
4.0,3.0,hati hati
2.0,2.0,lulus
2.0,2.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
3.0,2.0,lulus
3.0,2.0,lulus
2.0,2.0,hati hati
2.0,2.0,hati hati
3.0,3.0,lulus
3.0,3.0,lulus
4.0,2.0,hati hati
4.0,2.0,hati hati
3.0,3.0,lulus
3.0,3.0,lulus
2.0,2.0,lulus
2.0,2.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
4.0,3.0,hati hati
4.0,3.0,hati hati
4.0,4.0,lulus
4.0,4.0,lulus
2.0,4.0,hati hati
2.0,4.0,hati hati
2.0,4.0,hati hati
3.0,3.0,lulus
3.0,3.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
2.0,3.0,lulus
4.0,2.0,lulus
3.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
4.0,2.0,lulus
3.0,2.0,lulus
3.0,2.0,lulus
2.0,4.0,lulus
4.0,4.0,lulus
3.0,4.0,lulus
3.0,3.0,lulus
2.0,3.0,lulus
4.0,4.0,lulus
2.0,4.0,lulus
3.0,4.0,lulus
2.0,3.0,lulus
2.0,2.0,lulus
3.0,2.0,lulus
3.0,3.0,lulus
4.0,4.0,lulus
4.0,3.0,lulus
4.0,4.0,lulus
4.0,3.0,lulus
4.0,2.0,lulus
3.0,4.0,lulus
4.0,2.0,lulus
3.0,4.0,lulus
3.0,3.0,lulus
4.0,2.0,lulus
4.0,3.0,lulus
2.0,3.0,lulus
4.0,2.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
2.0,2.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
4.0,3.0,lulus
2.0,4.0,lulus
4.0,4.0,lulus
3.0,4.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
4.0,3.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
3.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
3.0,3.0,lulus
4.0,2.0,lulus
2.0,2.0,lulus
3.0,2.0,lulus
4.0,1.0,lulus
4.0,3.0,lulus
3.0,3.0,lulus
3.0,2.0,lulus
4.0,4.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
4.0,2.0,lulus
4.0,4.0,lulus
3.0,2.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
4.0,1.0,lulus
3.0,3.0,lulus
4.0,1.0,lulus
2.0,3.0,lulus
3.0,3.0,lulus
4.0,4.0,lulus
4.0,3.0,lulus
2.0,4.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
4.0,4.0,lulus
4.0,3.0,lulus
3.0,2.0,lulus
4.0,3.0,lulus
3.0,2.0,lulus
3.0,3.0,lulus
2.0,3.0,lulus
3.0,2.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
2.0,4.0,lulus
4.0,3.0,lulus
3.0,3.0,lulus
3.0,4.0,lulus
4.0,4.0,lulus
3.0,4.0,lulus
4.0,2.0,lulus
2.0,3.0,lulus
4.0,4.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
3.0,3.0,lulus
3.0,2.0,lulus
3.0,2.0,lulus
3.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
4.0,4.0,lulus
1.0,3.0,lulus
2.0,3.0,lulus
3.0,3.0,lulus
4.0,3.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
3.0,4.0,lulus
2.0,2.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
4.0,4.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
3.0,3.0,lulus
2.0,3.0,lulus
4.0,2.0,lulus
2.0,3.0,lulus
3.0,2.0,lulus
4.0,3.0,lulus
4.0,4.0,lulus
4.0,3.0,lulus
3.0,2.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
4.0,3.0,lulus
3.0,4.0,lulus
3.0,3.0,lulus
2.0,4.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
3.0,3.0,lulus
4.0,3.0,lulus
2.0,4.0,lulus
3.0,2.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
4.0,2.0,lulus
2.0,3.0,lulus
3.0,2.0,lulus
4.0,3.0,lulus
4.0,1.0,lulus
3.0,3.0,lulus
4.0,4.0,lulus
4.0,4.0,lulus
3.0,2.0,lulus
4.0,3.0,lulus
4.0,3.0,lulus
2.0,3.0,lulus
4.0,3.0,lulus
2.0,3.0,lulus
3.0,2.0,lulus
2.0,3.0,lulus
4.0,3.0,lulus
3.0,3.0,lulus
3.0,3.0,lulus
3.0,4.0,lulus
3.0,2.0,lulus
4.0,3.0,lulus
2.0,2.0,lulus
3.0,4.0,lulus
3.0,4.0,lulus
3.0,2.0,lulus
3.0,2.0,lulus
4.0,3.0,lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
2.0,3.0,tidak lulus
2.0,3.0,tidak lulus
3.0,4.0,tidak lulus
3.0,4.0,tidak lulus
4.0,3.0,tidak lulus
2.0,3.0,tidak lulus
4.0,3.0,tidak lulus
2.0,3.0,tidak lulus
2.0,3.0,tidak lulus
3.0,4.0,tidak lulus
2.0,3.0,tidak lulus
2.0,3.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
3.0,4.0,tidak lulus
3.0,4.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
2.0,3.0,tidak lulus
3.0,4.0,tidak lulus
4.0,3.0,tidak lulus
3.0,4.0,tidak lulus
2.0,3.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
2.0,3.0,tidak lulus
2.0,3.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
2.0,4.0,tidak lulus
3.0,4.0,tidak lulus
4.0,3.0,tidak lulus
3.0,4.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
2.0,3.0,tidak lulus
3.0,4.0,tidak lulus
4.0,3.0,tidak lulus
3.0,4.0,tidak lulus
4.0,3.0,tidak lulus
2.0,3.0,tidak lulus
2.0,3.0,tidak lulus
2.0,3.0,tidak lulus
3.0,4.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
2.0,3.0,tidak lulus
3.0,4.0,tidak lulus
2.0,3.0,tidak lulus
2.0,3.0,tidak lulus
4.0,3.0,tidak lulus
2.0,3.0,tidak lulus
4.0,3.0,tidak lulus
4.0,3.0,tidak lulus
2.0,3.0,tidak lulus
2.0,3.0,tidak lulus
3.0,4.0,tidak lulus
3.0,4.0,tidak lulus
2.0,3.0,tidak lulus
2.0,3.0,tidak lulus
